"ID","IV"
534,5.07236982427801
97,1.78101794439679
441,NA
529,4.5590048916049
45,NA
71,3.16096100781483
136,3.02389363586437
419,6.41700464231136
368,6.80534838549067
369,3.91857213444531
228,4.11975374742353
116,5.28766131310803
149,8.17318478991826
81,1.72604837966776
336,NA
299,4.75504164958635
17,4.4767079333884
295,2.92470023247199
113,2.73122891160928
377,9.33955986056022
86,4.33824177712923
425,3.28220513888524
307,NA
291,4.25824031365707
431,4.41479075233464
189,NA
482,8.29970523023574
527,NA
2,8.20708015344582
141,4.68027005221232
205,4.89779446644762
258,4.35707907335187
46,7.74008655746933
303,4.47121240641447
87,3.49663548665608
24,5.88274920001789
416,6.90782943197846
362,NA
458,4.62706696052444
106,2.459084385156
121,6.2007356452388
460,8.84227244760602
8,3.84306474210478
150,2.90536556026283
122,1.04713504162527
244,1.40696201229503
498,2.68816715680081
212,2.08845223232218
216,6.03388061797316
346,2.34008434820646
72,6.3068516496109
50,5.60863661908218
363,5.2862882921805
471,4.55525170719358
82,2.57880777570387
92,5.45380064466921
222,8.98060600975068
304,6.54005618065809
170,3.81356451301912
169,NA
286,2.7990714441708
292,1.05517312762154
413,2.80206713413786
449,5.59591355134654
282,9.56286077521545
105,7.64281443244332
130,3.09977160784268
343,1.20725599428032
394,8.18609353777522
353,6.47117857352747
1,3.09977777628568
327,2.00152866150412
177,7.6924640844996
131,5.61537424186775
452,3.60881888926913
294,6.25366370795557
96,6.02830156488281
349,2.1703229081662
435,7.05153635271672
306,5.91624172466933
350,3.38813849532224
406,2.95550982257794
100,6.35143724892951
215,6.33914845863336
48,2.6174487442786
279,NA
493,NA
389,6.73808908286212
118,6.7342676901568
168,4.02100035075852
173,5.01615638908808
109,7.63628813049989
397,7.0303214727925
469,4.39863188880741
308,7.51895372626734
351,8.10609404481441
67,3.63711658697988
23,1.87642668077259
382,3.87565776894673
518,4.4364682772702
19,4.92634276014978
134,6.35963532032705
328,4.98081947396245
224,5.61485034536849
147,5.71003562355251
73,4.0197417797188
348,4.304769391687
142,6.86494627343918
517,3.96842959265581
415,5.38878771971546
280,4.06692233888201
391,4.4699934407851
370,3.92591118287817
489,2.289118560458
181,5.47139936585789
41,2.1546493141514
440,2.50155757945783
145,NA
540,4.5297724084937
426,5.59558324514044
531,4.80888025044842
444,NA
21,5.83296446648275
275,3.97456187017178
424,5.20062491793413
171,3.82309625302035
381,7.85131050654672
272,6.16060194834713
101,2.87023371113264
523,1.58912526793371
221,4.50722960819479
344,NA
429,4.05591921297097
52,NA
259,3.34979539655052
309,8.30789034609065
373,2.8939502548538
465,4.86745780571251
281,5.93438059286063
155,3.75170576204141
434,6.39189971336744
262,6.13383805620271
263,2.46471444859186
102,NA
537,2.60770253267887
405,6.440042380524
65,4.55827609085883
133,6.24381514816734
508,8.34961007393244
80,5.58315949427425
248,NA
408,3.8634656924512
384,3.12815445507591
400,5.22460798772325
159,6.43498494257798
232,3.29968633372713
198,3.77179494719455
333,4.83895265080224
284,3.99998324864485
475,2.57833980371292
375,7.97175165356159
338,5.90702056798232
164,5.97412800332353
404,5.3239741923207
151,5.05747209546179
448,3.68774011309792
62,6.07873310407684
160,0.492463735476389
317,1.48743025508687
516,6.12554733308209
77,4.62373750326726
28,5.93582109674365
476,8.26818856169941
438,2.01872830565465
186,8.01960345953334
521,6.60483456350109
144,0.521774801697347
535,6.15479078829747
503,5.78548218473255
140,2.9272782855384
305,7.01585594071877
37,9.34650926480455
204,4.38057768640193
354,2.33018260319315
345,5.02266204680875
393,3.10130178824428
526,0.727831088254735
500,6.1423862914276
315,3.43379432896701
467,6.21370194464919
339,4.54665301458043
421,5.37100884226428
25,8.62364179859735
34,NA
161,6.82273361018257
238,3.43622329288227
443,7.52875651484317
451,3.46506807935709
385,4.31438905438371
211,5.30779537394289
341,8.29161245588463
432,3.81172450440303
387,7.91710247089703
313,8.23523212505357
139,5.97199805629202
364,3.22755072345199
94,NA
107,1.38947135780398
398,3.24856358224995
15,NA
483,3.443099570737
494,5.01193238318674
180,6.4073422980505
515,5.42818289767474
396,4.89748047965716
311,2.57057342708857
209,3.57913165864642
143,2.89911723644518
239,4.61387897603521
513,4.88287374407719
157,4.43300859172236
202,5.72266965458267
167,7.69253033261366
436,8.81903098763081
355,8.23081005986724
530,7.30628110092857
453,NA
267,6.59219759730154
6,3.90825590317925
379,4.72177129203229
229,6.45727308594417
249,6.56234861909595
5,8.36169675175744
129,4.51668676231866
510,7.3372635677706
165,8.97108653551574
68,4.30545986768486
401,4.09099932055653
84,4.96928026203232
196,5.52793194806549
490,6.18942110353904
60,NA
470,3.62009479867696
412,4.86496908614996
511,NA
108,4.46675876544174
192,3.17053943615916
235,NA
225,4.12018824717416
485,6.32579440886594
538,4.0582591313788
502,3.42065447181765
237,3.5186752281098
18,7.8427742494934
399,3.17358555412175
51,1.8440391695592
352,4.1860111928468
9,7.42735616012788
137,4.4817544858763
47,2.16997658503617
342,NA
206,7.90100067846061
16,3.44589663629718
195,4.61555605589128
430,4.42333352668733
456,6.39421444685821
207,3.968825386225
220,7.16617461262851
182,3.40785753307793
347,6.0325397337217
233,3.12430313889786
156,5.66829108606029
380,6.84992763425328
455,3.79375695283307
427,NA
234,6.25644930503858
44,3.67079667737798
273,3.61551914067407
93,5.4316687851376
39,5.13641900487824
26,6.21495996170893
335,2.43114543040171
296,5.25681054574791
322,2.48129965323454
114,4.12215583746815
420,4.69801648491589
200,5.9564058563075
257,5.60164308892023
10,2.53468572394816
79,2.50879431941092
360,5.36038952744636
365,6.10219887290483
261,4.99999228551785
320,8.91274550688997
367,0.95428600741755
504,5.91820815896358
324,5.9607086502777
298,4.3469749596171
190,4.22213150024934
255,5.06601139747379
269,6.4052536713097
148,4.21880233752983
4,4.48810327609652
428,4.60886207303588
264,4.46989737502868
285,6.52816349536468
288,6.56874921878031
223,7.02176313452548
378,1.31918002782995
31,9.36103745935159
454,7.25356864751104
409,1.45515044870094
57,2.06842917614788
283,2.75268527718813
27,3.72401801876124
166,2.66915121481246
